"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","parcel_id.x","parcel_id.y","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"PAST SALE",NA,"Condo/Co-op","4700 Sandyland Rd #27","Carpinteria","CA","93013",1258710,3,2,NA,1232,NA,1970,NA,365,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-27/home/21614002",NA,NA,"N","Y","4700 Sandyland Rd #27, Carpinteria, CA",2477,3.73,29724,-119.5270762,34.3957702,3180800,0.512,644459.52,614250.48,44,44,101,64,42,-119.5270762,34.3957702
"PAST SALE","December-6-2004","Condo/Co-op","879 Sand Point Rd","Carpinteria","CA","93013-1107",5250000,5,4.5,"CARPINTERIA-SUMMERLAND",NA,NA,2003,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/879-Sand-Point-Rd-93013/home/21611780","SBMLS","04-4120","Y","Y","879 Sand Point Rd, Carpinteria, CA",9976,4.82,119712,-119.5475253,34.4055391,NA,NA,2425895.57425018,2824104.42574982,45,45,101,80,54,-119.5475253,34.4055391
"PAST SALE",NA,"Single Family Residential","871 Sand Point Rd","Carpinteria","CA","93013",4700000,4,4,NA,5235,6534,1997,NA,898,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/871-Sand-Point-Rd-93013/home/21611784",NA,NA,"Y","Y","871 Sand Point Rd, Carpinteria, CA",10902.1152305123,6.68,130825.382766148,-119.5469257,34.4047826,3180800,0.512,2406400,2293600,46,46,101,101,101,-119.5469257,34.4047826
"PAST SALE","June-6-2014","Single Family Residential","869 Sand Point Rd","Carpinteria","CA","93013",8650000,6,5,"CARPINTERIA-SUMMERLAND",5742,NA,1996,NA,1506,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/869-Sand-Point-Rd-93013/home/21523736","SBMLS","14-1791","Y","Y","869 Sand Point Rd, Carpinteria, CA",10216,4.42,122592,-119.5467092,34.4045559,3180800,0.512,4428800,4221200,47,47,66,33,16,-119.5467092,34.4045559
"PAST SALE",NA,"Single Family Residential","863 Sand Point Rd","Carpinteria","CA","93013",1450093,2,1,NA,780,37026,1961,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/863-Sand-Point-Rd-93013/home/21611954",NA,NA,"Y","Y","863 Sand Point Rd, Carpinteria, CA",3371,8.14,40452,-119.5457756,34.4050479,3180800,0.512,742447.616,707645.384,48,48,101,101,101,-119.5457756,34.4050479
"PAST SALE",NA,"Single Family Residential","845 Sand Point Rd","Carpinteria","CA","93013",6100000,3,4,NA,2241,46174,1977,NA,2722,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/845-Sand-Point-Rd-93013/home/21611953",NA,NA,"Y","Y","845 Sand Point Rd, Carpinteria, CA",8131,7.35,97572,-119.5458531,34.4045688,3180800,0.512,3123200,2976800,49,49,101,101,101,-119.5458531,34.4045688
"PAST SALE","May-8-2012","Single Family Residential","841 Sand Point Rd","Santa Barbara","CA","93013",5225000,4,4,"Santa Barbara",2395,45738,1973,NA,2182,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/841-Sand-Point-Rd-93013/home/21612178","SBMLS","11-2580","Y","Y","841 Sand Point Rd, Santa Barbara, CA",8006,7.2,96072,-119.5456102,34.4044467,3180800,0.512,2675200,2549800,50,50,101,101,101,-119.5456102,34.4044467
"PAST SALE",NA,"Single Family Residential","835 Sand Point Rd","Carpinteria","CA","93013",8141295,6,5,NA,5475,59677,2006,NA,311,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/835-Sand-Point-Rd-93013/home/21611956",NA,NA,"Y","Y","835 Sand Point Rd, Carpinteria, CA",10292,6.64,123504,-119.5453239,34.4042248,3180800,0.512,4168343.04,3972951.96,51,51,101,101,101,-119.5453239,34.4042248
"PAST SALE","April-13-2012","Single Family Residential","815 Sand Point Rd","Carpinteria","CA","93013",5500000,3,2,"Carpinteria",2198,96703,1977,NA,2502,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/815-Sand-Point-Rd-93013/home/21611962","SBMLS","11-2340","Y","Y","815 Sand Point Rd, Carpinteria, CA",10221,5.39,122652,-119.5447663,34.4037732,3180800,0.512,2816000,2684000,52,52,101,101,92,-119.5447663,34.4037732
"PAST SALE","January-22-1993","Single Family Residential","805 Sand Pt","Carpinteria","CA","93013",8914059,4,3,"CARPINTERIA-SUMMERLAND",NA,100188,1964,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/805-Sand-Point-Rd-93013/home/21611955","SBMLS","92-2430","Y","Y","805 Sand Pt, Carpinteria, CA",9816,5.09,117792,-119.5444334,34.4034328,3180800,0.512,4563998.208,4350060.792,53,53,101,82,56,-119.5444334,34.4034328
