parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
189,High,LetItGo,39,81,39,57.388628959053534,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,135 Shoreview Ave,1080669,319878.0240000001,760790.9759999999,37.6393921,-122.4932298,54033.450000000004,1482712.4819395945,2243503.4579395945,1080669
190,High,LetItGo,31,81,31,42.213398449210544,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,145 Shoreview Ave,1009716,298875.936,710840.064,37.6393885,-122.4934021,50485.8,1181188.7756568976,1892028.8396568976,1009716
191,High,LetItGo,81,81,81,16.546556676946274,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,184 Shoreview Ave,905000,267880,637120,37.6386258,-122.4940647,45250,NA,NA,NA
192,High,LetItGo,81,81,81,16.95010916246391,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,178 Shoreview Ave,1435000,424760.0000000001,1010239.9999999999,37.638825,-122.4940746,71750,NA,NA,NA
193,High,LetItGo,1,81,1,9.168358570424653,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,172 Shoreview Ave,2000000,592000,1408000,37.6390115,-122.4939914,100000,100000,1508000,1508000
194,High,LetItGo,1,81,1,1.0566084524102566,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,166 Shoreview Ave,1231501,364524.2960000001,866976.7039999999,37.6392003,-122.4939032,61575.05,61575.05,928551.754,928551.754
195,High,LetItGo,1,81,1,3.5409189107868264,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,154 SHOREVIEW Ave,1340470,396779.1200000001,943690.8799999999,37.6393773,-122.4938413,67023.5,67023.5,1010714.3799999999,1010714.3799999999
196,High,LetItGo,1,81,1,6.323850107665059,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,146 Shoreview Ave,1312500,388500,924000,37.6395648,-122.4937994,65625,65625,989625,989625
197,High,LetItGo,72,81,72,103.035170929231,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,104 SHOREVIEW Ave,1020421,302044.61600000004,718376.384,37.6397189,-122.4926941,51021.05,1976746.5205152528,2695122.904515253,1020421
198,High,LetItGo,60,81,60,87.68459442377296,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,112 Shoreview Ave,1030000,304880,725120,37.6397278,-122.4928677,51500,1825989.37714525,2551109.3771452503,1030000
199,High,LetItGo,50,81,50,73.05651019886756,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,118 Shoreview Ave,1022886,302774.25600000005,720111.744,37.639735,-122.4930332,51144.3,1639281.0934448342,2359392.8374448344,1022886
200,High,LetItGo,41,81,41,57.51130677300217,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,126 Shoreview Ave,1027393,304108.3280000001,723284.6719999999,37.6397259,-122.49321,51369.65,1456611.0441789853,2179895.7161789853,1027393
