parcel_id,slr_m,storm,depth_m,depth_m_w100,duration_hr,duration_hr_w100,wave_ht_m,wave_ht_m_w100,flooded,runup_dist_m,runup_exposed,runup_dist_m_w100,runup_exposed_w100,in_squeeze_zone,cliff_dist_m,cliff_exposed
27,5,w000,1.6775094604492187,1.85,24.51151466369629,24.530532836914062,0.47129765152931213,2.556260824203491,TRUE,948.7199618501998,FALSE,950.7649516896106,FALSE,FALSE,1759.9326560871334,FALSE
28,0,w000,0,0.13,0,4.465486526489258,0,0.00546693941578269,FALSE,115.4756420281507,FALSE,113.01275418899391,FALSE,NA,1345.3318095569455,FALSE
28,0.25,w000,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
28,0.5,w000,0,0,0,0,0,0,FALSE,73.48302716018965,FALSE,114.08511620702434,FALSE,FALSE,1345.3318095569455,FALSE
28,0.75,w000,0,0.07,0,5.91995906829834,0,0.054980017244815826,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
28,1,w000,0,0.18,0,5.91995906829834,0,0.054980017244815826,FALSE,31.715456333443438,TRUE,192.11187272381088,FALSE,FALSE,1345.3318095569455,FALSE
28,1.25,w000,0.08994142532348633,0.66,14.571115493774414,20.80668067932129,0.03137650713324547,0.06975175440311432,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
28,1.5,w000,0.33994140625,1.14,14.571115493774414,20.80668067932129,0.03136831521987915,0.06975175440311432,TRUE,287.606525950749,FALSE,287.606525950749,FALSE,FALSE,1345.3318095569455,FALSE
28,1.75,w000,0,1.19,0,24.734148025512695,0,0.11682069301605225,FALSE,NA,NA,NA,NA,FALSE,1345.3318095569455,FALSE
28,2,w000,0,1.5,0,24.734148025512695,0,0.11682069301605225,FALSE,114.07516982358352,FALSE,1033.0426726636067,FALSE,FALSE,1345.3318095569455,FALSE
28,5,w000,3.76994140625,4.1,24.15317153930664,24.16423225402832,0.45821210741996765,1.7895972728729248,TRUE,1032.1012448281588,FALSE,1033.8851812570358,FALSE,FALSE,1345.3318095569455,FALSE
29,0,w000,0,1.1,0,4.549665927886963,0,0.08689766377210617,FALSE,74.65794979708443,FALSE,65.66629978085065,FALSE,NA,1519.0965870293046,FALSE
29,0.25,w000,0,1.03,0,4.4336700439453125,0,0.21096497774124146,FALSE,NA,NA,NA,NA,FALSE,1519.0965870293046,FALSE
29,0.5,w000,0,0.92,0,4.4336700439453125,0,0.21096497774124146,FALSE,48.047723626727425,TRUE,78.35591151266487,FALSE,FALSE,1519.0965870293046,FALSE
29,0.75,w000,0,1.08,0,6.536561489105225,0,0.2768036723136902,FALSE,NA,NA,NA,NA,FALSE,1519.0965870293046,FALSE
29,1,w000,0.8716587066650391,1.12,2.90002703666687,6.536561489105225,0.09163761883974075,0.2768036723136902,TRUE,41.30594003032574,TRUE,300.3401965735367,FALSE,FALSE,1519.0965870293046,FALSE
29,1.25,w000,1.2784857940673828,1.69,16.69816017150879,19.963998794555664,0.0898614302277565,0.32098352909088135,TRUE,NA,NA,NA,NA,FALSE,1519.0965870293046,FALSE
29,1.5,w000,1.6720458984375,2.25,16.69816017150879,19.963998794555664,0.08991219848394394,0.32098352909088135,TRUE,302.99011123059387,FALSE,325.53943464347344,FALSE,FALSE,1519.0965870293046,FALSE
29,1.75,w000,1.5220458984375,2.41,22.913249969482422,24.7812557220459,0.08718109130859375,0.36178192496299744,TRUE,NA,NA,NA,NA,FALSE,1519.0965870293046,FALSE
29,2,w000,1.4841497802734376,2.59,22.913249969482422,24.7812557220459,0.08713153749704361,0.36178192496299744,TRUE,78.45689268819858,FALSE,972.8825008447849,FALSE,FALSE,1519.0965870293046,FALSE
29,5,w000,4.582987976074219,4.89,24.502466201782227,24.51129913330078,0.46087726950645447,2.0998780727386475,TRUE,971.8680995125176,FALSE,973.7971062363897,FALSE,FALSE,1519.0965870293046,FALSE
30,0,w000,0,0,0,0,0,0,FALSE,38.59753224795606,TRUE,97.93557446239211,FALSE,NA,2829.6237895756512,FALSE
