parcel_id,property_id,slr_m,storm,scenario,depth_m,duration_hr,flooded,source
31,bc49f4578caf3d4c87244cc6fc1432ac,1,100-yr,SLR=1.0m | 100-yr,0.37,8.482233047485352,TRUE,CoSMoS
32,b1abab57126ed2a9a88d737984c69b54,1,100-yr,SLR=1.0m | 100-yr,0.18,5.91995906829834,TRUE,CoSMoS
33,4c16214b63d783b88e1d00cc5aeeeedb,1,100-yr,SLR=1.0m | 100-yr,0.02,5.293235778808594,FALSE,CoSMoS
34,43cf192f76f781c71d1f0a86691b4b36,1,100-yr,SLR=1.0m | 100-yr,0.37,8.482233047485352,TRUE,CoSMoS
38,6596a6ce95accc5a22d77a6eb1b0e396,1,100-yr,SLR=1.0m | 100-yr,0.08,4.570392608642578,FALSE,CoSMoS
42,073c60cc505c2d828817dfd84c52846e,1,100-yr,SLR=1.0m | 100-yr,0.04,3.982991933822632,FALSE,CoSMoS
46,5fa404df6aa8eb519c17c3ef9b2f8641,1,100-yr,SLR=1.0m | 100-yr,0.1,7.904141426086426,FALSE,CoSMoS
49,75a17d216fabd33638ad4d4b11287948,1,100-yr,SLR=1.0m | 100-yr,0.41,10.131454467773438,TRUE,CoSMoS
50,9a075e84b4a27045bbf8e7d7f5ebdbc2,1,100-yr,SLR=1.0m | 100-yr,0.2,10.589908599853516,TRUE,CoSMoS
51,30e4d3cc266206e4c2ed30bd280e9354,1,100-yr,SLR=1.0m | 100-yr,0.2,10.643352508544922,TRUE,CoSMoS
54,1b6278ab5c2822e50d92a662a920f9cd,1,100-yr,SLR=1.0m | 100-yr,0.46,7.793793201446533,TRUE,CoSMoS
57,5d9c2a05a08558d55b02c0327b4df447,1,100-yr,SLR=1.0m | 100-yr,0.06,7.438265800476074,FALSE,CoSMoS
58,c37bb3af3bc962b23be05ede85a95227,1,100-yr,SLR=1.0m | 100-yr,0.46,9.941828727722168,TRUE,CoSMoS
60,4ad4c8215c6fffa3117985d90cffb766,1,100-yr,SLR=1.0m | 100-yr,0.11,11.006952285766602,FALSE,CoSMoS
61,671f697ca683fcd3dfef97963abd2555,1,100-yr,SLR=1.0m | 100-yr,0.35,9.990487098693848,TRUE,CoSMoS
62,74df5ff97da3e03e91c0f35f77505d09,1,100-yr,SLR=1.0m | 100-yr,0.23,9.911299705505371,TRUE,CoSMoS
65,ebba21509473070bc68ac3bdc57e2b2f,1,100-yr,SLR=1.0m | 100-yr,0.13,5.814508438110352,FALSE,CoSMoS
67,13d20e9c7a4c67ce669c866c9c0c0b65,1,100-yr,SLR=1.0m | 100-yr,0.11,6.728662967681885,FALSE,CoSMoS
68,5dcd72919d0d813104e7c51b3d4f6aec,1,100-yr,SLR=1.0m | 100-yr,0.57,5.805622577667236,TRUE,CoSMoS
69,b3adec5d5bea4d9c3fa1e3464bbafa91,1,100-yr,SLR=1.0m | 100-yr,0.15,9.249136924743652,TRUE,CoSMoS
76,16e7c6a3126e8054624d86ca0fffa966,1,100-yr,SLR=1.0m | 100-yr,0.53,14.556485176086426,TRUE,CoSMoS
77,4ca0c29f2b81ba4765ed75f5ea1f4463,1,100-yr,SLR=1.0m | 100-yr,1.1,15.330376625061035,TRUE,CoSMoS
79,970676448c402953014406951d3772fd,1,100-yr,SLR=1.0m | 100-yr,0.09,8.889551162719727,FALSE,CoSMoS
80,d6e5eca5b6ca3a0f7832eb2769464302,1,100-yr,SLR=1.0m | 100-yr,0.12,7.954284191131592,FALSE,CoSMoS
81,1e63e1365446d4a9a3a49fb69ae6a743,1,100-yr,SLR=1.0m | 100-yr,0.58,7.110973358154297,TRUE,CoSMoS
82,ec9891763c8b3865fe1cb0aef7d8808e,1,100-yr,SLR=1.0m | 100-yr,0.49,8.666813850402832,TRUE,CoSMoS
83,e313959d66f6c9b225346c79eefd5ead,1,100-yr,SLR=1.0m | 100-yr,0.64,10.147171974182129,TRUE,CoSMoS
89,b60fd96b598ea779713dadd50eec1981,1,100-yr,SLR=1.0m | 100-yr,0.27,7.225553035736084,TRUE,CoSMoS
93,bbf6fc2a9aec00a3780ed5c5d4db6759,1,100-yr,SLR=1.0m | 100-yr,0.3,9.656318664550781,TRUE,CoSMoS
94,5a3be30199394130a88d0b5148f0f24c,1,100-yr,SLR=1.0m | 100-yr,0.22,10.210179328918457,TRUE,CoSMoS
95,1481d2cba83d67f62612ec6043fe47b3,1,100-yr,SLR=1.0m | 100-yr,0.19,10.583447456359863,TRUE,CoSMoS
96,b462f58e761e5f3c9c9e5a5d781e505a,1,100-yr,SLR=1.0m | 100-yr,0.09,10.331988334655762,FALSE,CoSMoS
98,15a54683d8a643d8f5cc47a2d8c7e936,1,100-yr,SLR=1.0m | 100-yr,0.29,5.558568000793457,TRUE,CoSMoS
99,56520faaa42881bdc6a324b7a5e2502f,1,100-yr,SLR=1.0m | 100-yr,0.43,5.576551914215088,TRUE,CoSMoS
101,7154de47f0001ba146ad1ae5a62ee863,1,100-yr,SLR=1.0m | 100-yr,0.73,6.271835803985596,TRUE,CoSMoS
102,0d7b8f794fa3082a7c03026dec856247,1,100-yr,SLR=1.0m | 100-yr,0.73,6.271835803985596,TRUE,CoSMoS
103,6e0abbe95021795de4e36b121e68a5da,1,100-yr,SLR=1.0m | 100-yr,0.18,4.676714897155762,TRUE,CoSMoS
